channel_id,channel_name,video_id,title,scheduled_at,actual_start,time_diff
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,YCMAeglwcbY,【Eggy Party】 push rank telor,2023-10-31T13:00:00Z,2023-10-31T13:06:19Z,379
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,u4ST1s8iRnA,【Free Talk】 3D IS DONE!!! now what?,2023-10-29T13:15:00Z,2023-10-29T13:17:56Z,176
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,IxQ48VjoC3M,【Post-3D Talk】 SPILLING ALL THE DETAILS,2023-10-27T16:35:00Z,2023-10-27T16:41:37Z,397
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,8xF1xccpc98,【3D SHOWCASE】LET THIS RAIN SHAMAN SHINE YOUR DAY!! REAL NO FAKE 100%!! EHEK! #KoboKanaeru3D,2023-10-27T13:00:00Z,2023-10-27T12:57:23Z,-157
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,YYG8iULF04M,【スイカゲーム | Watermelon Game &amp; 3D Pre-Talk】 3D SHOWCASE TOMORROW siapa yang mau liat udel 3D besok? 明日,2023-10-26T13:30:00Z,2023-10-26T13:39:28Z,568
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,C6jNDIkhdSA,"【Free Talk】Buat yang indigo, please tolong cariin dompet Kobo",2023-10-24T13:00:00Z,2023-10-24T13:00:30Z,30
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,N6BeXdRsNNQ,【スイカゲーム | Watermelon Game】 KALO DAPET SEMANGKA END STREAM,2023-10-15T08:00:00Z,2023-10-15T08:03:15Z,195
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,xhW_EUI3MhI,【Mobile Legends: Bang Bang】 CHALLENGE TIAP MATI BANG WINDAH JOGET?!! COLLAB PUSH RANK ROAD TO LEGEND,2023-10-14T08:00:00Z,2023-10-14T08:15:59Z,959
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,6GyGf-Jac3o,【FREE FIRE x Demon Slayer】 KIMETSU NO YAIBA &amp; EMOTE JOGET BANG WINDAH???,2023-10-13T13:30:00Z,2023-10-13T13:30:31Z,31
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,8YoH_Mg78CU,"【Mobile Legends: Bang Bang】 SOLO PUSH RANK SAMBIL COBA HERO APA AJA??? AJARIN DONG PUH, MASIH NEWBIE",2023-10-12T13:00:00Z,2023-10-12T13:08:28Z,508
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,QM3Oz-g_QrQ,【FREE FIRE x Demon Slayer】 FF COLLAB SAMA PEMBASMI IBLIS RILL!!! LANGSUNG GACHA GASSS,2023-09-29T13:00:00Z,2023-09-29T12:59:02Z,-58
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,eHOrXEom-AE,【Eggy Party】 GAME PARTY LUCU BANGET!!! KOBO NOMER 1 TERUS DI GAME INI!!! 【holoh3ro】,2023-09-28T13:15:00Z,2023-09-28T13:19:35Z,275
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,FJY7wjpz4P8,【VALORANT】 Daily pull gold,2023-09-28T07:20:00Z,2023-09-28T07:27:18Z,438
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,rMUYcEUPevE,【VALORANT】 hmmm derank any1?,2023-09-27T04:15:00Z,2023-09-27T04:13:32Z,-88
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,8POOuQNv9i8,【Amnesia: The Bunker】PERJUANGAN MENDAPATKAN GUNTING RUMPUT!!!! (part 3),2023-09-19T13:15:00Z,2023-09-19T13:14:22Z,-38
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,DJOQbmvh16Q,【Amnesia: The Bunker】 RUN! LARI!!! KABUR!!!!! 😨😱 (part 2),2023-09-18T13:00:00Z,2023-09-18T12:58:13Z,-107
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,V70iQXIuVtw,【Free Talk &amp; Donation Reading】HUIAHWUEIHAIWEUHAIEI,2023-09-16T12:00:00Z,2023-09-16T12:00:44Z,44
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,FSezUGbI7WU,【Amnesia: The Bunker】 SEREM BANGET 😱 KITA HARUS NGUMPET DARI MONSTER INI!!!,2023-09-15T12:00:00Z,2023-09-15T11:58:53Z,-67
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,x_61_mSDYEU,【The Karaoke | ヒトカラ🎤】 Karaoke stream bukan sih ini? 😁,2023-09-12T13:15:00Z,2023-09-12T13:18:57Z,237
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,3VzV-7Vdzy4,【Cooking Simulator】 LET THE CHEF COOK (ENGLISH ONLY!!!),2023-09-10T22:30:00Z,2023-09-10T22:28:58Z,-62
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,WjdWxSZynAo,【VALORANT】 KATANYA BISA NGAPAIN DI MAP BARU SUNSET???!! KEREN BANGET...,2023-09-07T13:00:00Z,2023-09-07T13:02:54Z,174
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,Wt0gVDW1htA,【Choo-Choo Charles】 APAKAH HARI INI AKAN MENAMATKAN KERETA API HORROR??? (part 2),2023-09-05T13:15:00Z,2023-09-05T13:15:06Z,6
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,Y0TiaHfKl6k,【Choo-Choo Charles】 SINI AKU KASIH CHOO CHOO,2023-09-02T13:00:00Z,2023-09-02T12:59:15Z,-45
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,xwWqUNJIoGU,【Everything Goes On Cover Aftertalk】 “is it selfish that i’m happy as we pass the setting sun?” 𓆩✧𓆪,2023-08-31T12:30:00Z,2023-08-31T12:36:31Z,391
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,YQw3lhyJMzo,Porter Robinson - Everything Goes On (Kobo Kanaeru Cover),2023-08-31T12:00:00Z,2023-08-31T12:00:08Z,8
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,PfFQ7AX5PNI,【Parasocial | パラソーシャル】 SERAM BANGET TAPI BUKAN HANTU!!! APAAN TUH??? PART 2,2023-08-27T15:10:00Z,2023-08-27T15:13:43Z,223
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,UYC9NWtISUg,【Parasocial | パラソーシャル】 SERAM BANGET TAPI BUKAN HANTU!!! APAAN TUH???,2023-08-27T14:00:00Z,2023-08-27T14:00:07Z,7
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,cCOlzWdPYcg,【Need for Speed™ Unbound】 NGEEENGGGG MAMANK RACING MOBIL KEREN,2023-08-23T13:00:00Z,2023-08-23T13:01:32Z,92
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,-KCZ86WKxTU,【NEKOPARA - Catboys Paradise】 KATANYA BERMAIN GAME INI BISA BERBICARA DENGAN KUCING?? SEPERTI APA YA,2023-08-23T09:10:00Z,2023-08-23T09:15:07Z,307
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,sEBAGq0cd58,【HoloCure】 IT&#39;S OUT NOW!!! kamu mau main? AYO MAIN,2023-08-18T12:00:00Z,2023-08-18T12:00:05Z,5
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,-yj-aWEK6do,"【Post Talk &amp; Donation Reading】 talking about my new costume! (Part 2, I made this room twice)",2023-08-16T13:40:00Z,2023-08-16T13:43:54Z,234
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,PNHZ3QR63Rw,【Post Talk &amp; Donation Reading】 talking about my new costume!,2023-08-16T13:10:00Z,2023-08-16T13:16:44Z,404
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,4CbH8pcq9C4,【NEW COSTUME】 REVEAL SKIN BARU KOBO!!! JADI WAYANG? JADI PUTRI RAJA?? JADI-JADIAN??? #GeloraholoID,2023-08-15T14:00:00Z,2023-08-15T14:00:35Z,35
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,GGYp1dSDE_o,【HoloCure】 KOBO ADA DI DALAM GAME INI??? EARLY ACCESS SPOILERS!!! (first time playing),2023-08-12T11:00:00Z,2023-08-12T11:01:12Z,72
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,37MjcI5CSdY,【Pokémon UNITE】try me  #ポケモンユナイト世界大会,2023-08-10T03:00:00Z,2023-08-10T03:06:28Z,388
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,Esa0BQVnnag,【Pokémon UNITE】 FULL TEAM ID PRACTICE BEFORE D-DAY!! #ポケモンユナイト世界大会,2023-08-09T14:00:00Z,2023-08-09T14:06:53Z,413
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,yFpwIhf0Jhw,【Pokémon UNITE】 TOURNAMENT PRACTICE! Let me be your tutor dek #ポケモンユナイト世界大会,2023-08-05T14:00:00Z,2023-08-05T14:03:22Z,202
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,8uk5gkOT-GE,【Free Talk &amp; Donation Reading】 bebas,2023-08-02T13:00:00Z,2023-08-02T13:05:08Z,308
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,Uo7WIjJFzWc,【Princess Samurai After Talk with @StarBeOfficialGetReady】 What do you think of our new song?,2023-07-28T15:15:00Z,2023-07-28T15:19:48Z,288
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,jkgaIFbdlpE,StarBe feat. Kobo Kanaeru - Princess Samurai 【Official MV】,2023-07-28T12:15:00Z,2023-07-28T12:15:10Z,10
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,JvxlR75p6Bc,【Amanda the Adventurer】 SAPI INI KETAKUTAN SAMA SIAPA??? KOBO DATANG SELAMATKAN SAPI,2023-07-27T13:00:00Z,2023-07-27T13:03:20Z,200
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,1vaUSafS7u8,"【Thief Simulator】 AWAS ADA MALING BIRU MAU LOOTING, JAGA PERALATAN KALIAN",2023-07-26T14:00:00Z,2023-07-26T14:00:51Z,51
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,TxXITSM-Obc,【Night Security | 夜間警備】(chill &amp; relaxing stream) MENJADI SATPAM PENGAWAS CCTV TAPI HORROR....????!!,2023-07-25T13:00:00Z,2023-07-25T13:03:48Z,228
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,78ZBe3aP7f0,【Spooky&#39;s Jump Scare Mansion】BUKA 1000 PINTU DI RUMAH HANTU??!! GA TAMAT GA END STREAM!!!,2023-07-20T13:00:00Z,2023-07-20T13:05:00Z,300
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,nGM-9YLy5hI,"【Free Talk &amp; Donation Reading】 apa aja, anything, 什么, なに?",2023-07-17T13:00:00Z,2023-07-17T13:02:31Z,151
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,6jAkYS1PP6U,"MEET THE VOICE ACTOR OF CHAMBER FROM VALORANT, HUGO PIERRE MARTIN!!! (with @RegisAltare)",2023-07-16T01:00:00Z,2023-07-16T01:01:49Z,109
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,eWjyx66ojF0,【Typing of the Dead: Overkill】FPS TAPI NGETIK??? NIAT NEMBAK APA JADI MESIN KETIK!,2023-07-13T12:00:00Z,2023-07-13T11:59:52Z,-8
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,jAZPlBerAUY,【ONLY UP!】 (super chill &amp; relaxing stream) AYO NAIK PANJAT PANJAT DAN TIDAK JATUH!,2023-07-11T12:00:00Z,2023-07-11T12:00:42Z,42
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,MoEawS18aZA,【League of Legends: Wild Rift】AYO SABUNG MEMBER @KaelaKovalskia,2023-07-10T13:00:00Z,2023-07-10T13:00:26Z,26
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,zm_tPPbQ-zc,【VALORANT】 ULTIMATE AGENT BARU DEADLOCK BIKIN KEPOMPONG??? kalo jago open rank,2023-07-09T13:00:00Z,2023-07-09T13:00:04Z,4
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,aZ2kbGl218E,【Free Talk】 JAPAN VACATION STORIES (we haven&#39;t talked for a while so LET&#39;S TALK ABOUT ANYTHING 😠),2023-07-08T12:00:00Z,2023-07-08T11:59:51Z,-9
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,WyGUWs8f_nU,【Oh! Asmara Cover Award Show】WHO WILL WIN THIS COMPETITION??? This gonna be tough!,2023-06-14T12:00:00Z,2023-06-14T12:02:32Z,152
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,2v8UfyIVovI,【Humanity】 isekai menjadi anjing,2023-06-02T09:00:00Z,2023-06-02T09:00:37Z,37
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,sPXHB-Nwnag,"【Free Talk】 lelah, tired, 累了",2023-05-29T14:00:00Z,2023-05-29T14:01:41Z,101
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,5g5nywuPcH0,【VALORANT】 AYO MABAR KOBOLONIMBUS!!! p valo 【Membership】,2023-05-27T13:00:00Z,2023-05-27T12:59:50Z,-10
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,VXoZM8edU3M,"【Gartic Phone】 cukup lu yang aneh, gambarnya jangan【MEMBERSHIP】",2023-05-26T13:00:00Z,2023-05-26T13:00:51Z,51
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,bAq5pJqItSA,【League of Legends: Wild Rift】carry ampe glori【MEMBERSHIP】,2023-05-25T14:00:00Z,2023-05-25T14:00:15Z,15
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,lSsuq6xm9uY,"【Phasmophobia】 bantai setannya, jangan bantai streamernya, dasar kobolonimbus【MEMBERSHIP】",2023-05-24T13:00:00Z,2023-05-24T13:02:40Z,160
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru,DDsXGqhn4G4,【FREE FIRE】KELUARKAN ALOK MU KOBOLONIMBUS!!!【MEMBERSHIP】,2023-05-23T13:00:00Z,2023-05-23T13:01:15Z,75
